Variable,Fuente / ticker,Frecuencia,Tratamiento,Transformación,Uso metodológico
EURUSD,Yahoo Finance / EURUSD=X,Diaria,"Descarga con yfinance, alineación por fecha, conversión numérica, forward fill y eliminación de nulos.","Retorno logarítmico, media móvil 21D, momentum 21D, desviación frente a media móvil y volatilidad histórica.","Variable principal de riesgo cambiario y base para estimar volatilidad, VaR y desempeño de la cobertura."
VIX,Yahoo Finance / ^VIX,Diaria,"Alineación con el calendario de EUR/USD, forward fill y eliminación de nulos.",Retorno logarítmico.,Proxy de aversión global al riesgo y condiciones de estrés financiero.
DXY,Yahoo Finance / DX-Y.NYB,Diaria,"Alineación con el calendario de EUR/USD, forward fill y eliminación de nulos.",Retorno logarítmico.,Proxy de fortaleza relativa del dólar estadounidense.
WTI,Yahoo Finance / CL=F,Diaria,"Alineación con el calendario de EUR/USD, forward fill y eliminación de nulos.",Variación porcentual.,Variable macrofinanciera asociada a commodities y condiciones globales de mercado.
US10Y,FRED / DGS10,Diaria,"Descarga mediante pandas_datareader, alineación con el resto de variables, forward fill y eliminación de nulos.",Nivel de tasa.,Proxy de condiciones monetarias y financieras de Estados Unidos.
EU10Y,ECB Data API / B.U2.EUR.4F.G_N.A.SV_C_YM.SR_10Y,Diaria,"Descarga desde ECB Data API, conversión numérica, alineación con el resto de variables, forward fill y eliminación de nulos.",Nivel de tasa.,Proxy de condiciones de tasas soberanas de la eurozona a 10 años.
spread_10y,Variable construida,Diaria,Construida después de alinear US10Y y EU10Y.,US10Y - EU10Y.,Diferencial de tasas de largo plazo entre Estados Unidos y eurozona.
vol_21,Variable construida a partir de EUR/USD,Diaria,Ventana móvil de 21 días hábiles.,Desviación estándar móvil de retornos del EUR/USD.,Indicador de volatilidad histórica usado como variable explicativa de LSTM/GRU.
ma_ratio_21,Variable construida a partir de EUR/USD,Diaria,Media móvil de 21 días hábiles.,EURUSD / media móvil 21D - 1.,Indicador técnico de desviación del tipo de cambio frente a su tendencia reciente.
momentum_21,Variable construida a partir de EUR/USD,Diaria,Rezago de 21 días hábiles.,EURUSD / EURUSD rezagado 21D - 1.,Indicador técnico de momentum del tipo de cambio.
target_vol_1m,Variable construida,Diaria con horizonte futuro de 21 días hábiles,Calculada con retornos futuros del EUR/USD.,Desviación estándar futura de 21 retornos diarios escalada por raíz de 21.,Variable objetivo para entrenamiento y evaluación de LSTM/GRU.
target_var_95_1m,Variable construida,Diaria / mensual para señal de cobertura,Calculada a partir de la volatilidad mensual esperada.,1.645 × volatilidad mensual esperada.,"VaR paramétrico mensual al 95%, usado para clasificar el riesgo bajo, medio o alto."
Exposición neta mensual,Simulación Monte Carlo,Mensual,"Simulación de flujos diarios de entrada y salida, agregados a nivel mensual.","Percentiles 5, 50 y 95; se usa la mediana como exposición base.",Base sobre la cual se aplica el hedge ratio y se define el nominal del forward.
Hedge ratio,Variable construida a partir del VaR proyectado,Mensual,Clasificación según percentiles históricos 33 y 66 del VaR de cada modelo.,Riesgo bajo = 30%; riesgo medio = 60%; riesgo alto = 90%.,Define el porcentaje de exposición mensual cubierta mediante forward.
